#STR,ID,MIC,XMIC,CAB,TIME,TUBE,CMT,EVID,LNDV,AMT,FLG2,FLG1,BASE,L2,BOBS
378,18100,0.375,0,0,0,0,1,0,13.41503299,0,1,0,13.4,1,0
378,18100,0.375,0,0,0,0,1,0,13.47302025,0,2,0,13.4,1,0
378,18100,0.375,0,0,0,0,1,0,13.3534751,0,3,0,13.4,1,0
378,18100,0.375,0,0,1,0,1,0,14.79758903,0,1,0,13.4,2,0
378,18100,0.375,0,0,1,0,1,0,14.80876233,0,2,0,13.4,2,0
378,18100,0.375,0,0,1,0,1,0,14.6909793,0,3,0,13.4,2,0
378,18100,0.375,0,0,2,0,1,0,17.59056771,0,1,0,13.4,3,0
378,18100,0.375,0,0,2,0,1,0,17.64415195,0,2,0,13.4,3,0
378,18100,0.375,0,0,2,0,1,0,17.52908262,0,3,0,13.4,3,0
378,18100,0.375,0,0,4,0,1,0,20.26123038,0,1,0,13.4,4,0
378,18100,0.375,0,0,4,0,1,0,20.24523004,0,2,0,13.4,4,0
378,18100,0.375,0,0,4,0,1,0,20.32278827,0,3,0,13.4,4,0
378,18100,0.375,0,0,6,0,1,0,20.772056,0,1,0,13.4,5,0
378,18100,0.375,0,0,6,0,1,0,20.90558739,0,2,0,13.4,5,0
378,18100,0.375,0,0,6,0,1,0,20.72326584,0,3,0,13.4,5,0
378,18100,0.375,0,0,9,0,1,0,20.93028001,0,1,0,13.4,6,0
378,18100,0.375,0,0,9,0,1,0,20.9856301,0,2,0,13.4,6,0
378,18100,0.375,0,0,9,0,1,0,20.90558739,0,3,0,13.4,6,0
378,18100,0.375,0,0,12,0,1,0,21.11530792,0,1,0,13.4,7,0
378,18100,0.375,0,0,12,0,1,0,21.12873095,0,2,0,13.4,7,0
378,18100,0.375,0,0,12,0,1,0,21.19326947,0,3,0,13.4,7,0
378,18100,0.375,0,0,24,0,1,0,21.46995378,0,1,0,13.4,8,0
378,18100,0.375,0,0,24,0,1,0,21.59873457,0,2,0,13.4,8,0
378,18100,0.375,0,0,24,0,1,0,21.5117232,0,3,0,13.4,8,0
378,18101,0.375,0.0625,0.0234,0,1,1,0,13.43278494,0,1,0,13.4,1,0
378,18101,0.375,0.0625,0.0234,0,1,1,0,13.38472764,0,2,0,13.4,1,0
378,18101,0.375,0.0625,0.0234,0,1,1,0,13.45883561,0,3,0,13.4,1,0
378,18101,0.375,0.0625,0.0234,1,1,1,0,14.60850307,0,1,0,13.4,2,0
378,18101,0.375,0.0625,0.0234,1,1,1,0,14.771022,0,2,0,13.4,2,0
378,18101,0.375,0.0625,0.0234,1,1,1,0,14.50865774,0,3,0,13.4,2,0
378,18101,0.375,0.0625,0.0234,2,1,1,0,16.5755205,0,1,0,13.4,3,0
378,18101,0.375,0.0625,0.0234,2,1,1,0,16.6487239,0,2,0,13.4,3,0
378,18101,0.375,0.0625,0.0234,2,1,1,0,16.38045992,0,3,0,13.4,3,0
378,18101,0.375,0.0625,0.0234,4,1,1,0,19.99345467,0,1,0,13.4,4,0
378,18101,0.375,0.0625,0.0234,4,1,1,0,20.06933937,0,2,0,13.4,4,0
378,18101,0.375,0.0625,0.0234,4,1,1,0,20.22896952,0,3,0,13.4,4,0
378,18101,0.375,0.0625,0.0234,6,1,1,0,20.59543247,0,1,0,13.4,5,0
378,18101,0.375,0.0625,0.0234,6,1,1,0,20.56074691,0,2,0,13.4,5,0
378,18101,0.375,0.0625,0.0234,6,1,1,0,20.61790532,0,3,0,13.4,5,0
378,18101,0.375,0.0625,0.0234,6,1,1,0,20.50012229,0,4,0,13.4,5,0
378,18101,0.375,0.0625,0.0234,9,1,1,0,20.67197254,0,1,0,13.4,6,0
378,18101,0.375,0.0625,0.0234,9,1,1,0,20.72326584,0,2,0,13.4,6,0
378,18101,0.375,0.0625,0.0234,9,1,1,0,20.72326584,0,3,0,13.4,6,0
378,18101,0.375,0.0625,0.0234,12,1,1,0,21.06685554,0,1,0,13.4,7,0
378,18101,0.375,0.0625,0.0234,12,1,1,0,21.05973807,0,2,0,13.4,7,0
378,18101,0.375,0.0625,0.0234,12,1,1,0,20.61790532,0,3,0,13.4,7,0
378,18101,0.375,0.0625,0.0234,24,1,1,0,21.21184585,0,1,0,13.4,8,0
378,18101,0.375,0.0625,0.0234,24,1,1,0,21.12873095,0,2,0,13.4,8,0
378,18101,0.375,0.0625,0.0234,24,1,1,0,21.25389409,0,3,0,13.4,8,0
378,18102,0.375,0.125,0.0469,0,2,1,0,13.41204345,0,1,0,13.4,1,0
378,18102,0.375,0.125,0.0469,0,2,1,0,13.38472764,0,2,0,13.4,1,0
378,18102,0.375,0.125,0.0469,0,2,1,0,13.36922346,0,3,0,13.4,1,0
378,18102,0.375,0.125,0.0469,1,2,1,0,13.92883924,0,1,0,13.4,2,0
378,18102,0.375,0.125,0.0469,1,2,1,0,13.71015004,0,2,0,13.4,2,0
378,18102,0.375,0.125,0.0469,1,2,1,0,13.71015004,0,3,0,13.4,2,0
378,18102,0.375,0.125,0.0469,2,2,1,0,14.55267462,0,1,0,13.4,3,0
378,18102,0.375,0.125,0.0469,2,2,1,0,14.40329722,0,2,0,13.4,3,0
378,18102,0.375,0.125,0.0469,2,2,1,0,14.50865774,0,3,0,13.4,3,0
378,18102,0.375,0.125,0.0469,2,2,1,0,14.50865774,0,4,0,13.4,3,0
378,18102,0.375,0.125,0.0469,4,2,1,0,18.82614585,0,1,0,13.4,4,0
378,18102,0.375,0.125,0.0469,4,2,1,0,18.75715298,0,2,0,13.4,4,0
378,18102,0.375,0.125,0.0469,4,2,1,0,18.951309,0,3,0,13.4,4,0
